Bill No.,Bill Year,Short Title of Bill,Ministry,Member Name,Date of Introduction,Bill Category,Status,URL for Bill As Introduced
1,2013,"The Environment Protection (Control of Non-Biodegradable Garbage) Bill, 2013.",ENVIRONMENT AND FORESTS,Chauhan Mahendrasinh Shri,22/02/2013,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4588ls.pdf
2,2013,"The Indian Forest (Amendment) Bill, 2013 (Amendment of section 2).",ENVIRONMENT AND FORESTS,Prem Das Rai Shri,22/02/2013,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4589ls.pdf
3,2013,"The Agricultural Workers (Employment, Conditions of Service and Welfare) Bill, 2013.",LABOUR AND EMPLOYMENT,Wakchaure Bhausaheb Rajaram Shri,22/02/2013,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4624LS.pdf
4,2013,"The Abolition of Child Labour Bill, 2013.",LABOUR AND EMPLOYMENT,Wakchaure Bhausaheb Rajaram Shri,22/02/2013,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4665ls.pdf
5,2013,"The National Commission for Youth Bill, 2013.",YOUTH AFFAIRS AND SPORTS,Wakchaure Bhausaheb Rajaram Shri,22/02/2013,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4614ls.pdf
6,2013,"The Information Technology (Amendment) Bill, 2013 (Amendment of section 2, etc.).",COMMUNICATIONS AND INFORMATION TECHNOLOGY,Baijayant Panda Shri,22/02/2013,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4762ls.pdf
7,2013,"The Bihar Reorganisation (Amendment) Bill, 2013 (Amendment of the Eighth Schedule).",HOME AFFAIRS,Nishikant Dubey Shri,22/02/2013,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4599LS.pdf
8,2013,"The Prevention of Female Infanticide Bill, 2013.",WOMEN AND CHILD DEVELOPMENT,Rakesh Singh Shri,22/02/2013,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4643LS.pdf
9,2013,"The Computer Training Centres (Regulation) Bill, 2013.",COMMUNICATIONS AND INFORMATION TECHNOLOGY,Rakesh Singh Shri,22/02/2013,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4615LS.pdf
10,2013,"The Special Financial Assistance to the State of Madhya Pradesh Bill, 2013.",FINANCE,Rakesh Singh Shri,22/02/2013,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4613LS.pdf
11,2013,"The Nationalisation of Inter-State Rivers Bill, 2013.",WATER RESOURCES,Ramen Deka Shri,08/03/2013,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4623LS.pdf
12,2013,"The Removal of Homelessness Bill, 2013.",HOUSING AND URBAN POVERTY ALLEVIATION,Chauhan Mahendrasinh Shri,22/02/2013,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4648ls.pdf
13,2013,"The Indecent or Surrogate Advertisements and Remix Songs (Prohibition) Bill, 2013.",INFORMATION AND BROADCASTING,Chauhan Mahendrasinh Shri,22/02/2013,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4687ls.pdf
14,2013,"The Disclosure of Lobbying Activities Bill, 2013.","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Kalikesh Narayan Singh Deo Shri,08/03/2013,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4587ls.pdf
15,2013,"The Jute Growers (Remunerative Price and Welfare) Bill, 2013.",TEXTILES,Kakoli Ghosh Dastidar,08/03/2013,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4625ls.pdf
16,2013,"The Electronic Waste (Handling and Disposal) Bill, 2013.",ENVIRONMENT AND FORESTS,Chauhan Mahendrasinh Shri,22/02/2013,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4790LS.pdf
17,2013,"The Hindu Succession (Amendment) Bill, 2013 (Amendment of sections 3 and 15).",LAW AND JUSTICE,Anurag Singh Thakur Shri,22/02/2013,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4596LS.pdf
19,2013,"The Constitution (Amendment) Bill, 2013 (Amendment of the Eighth Schedule).",HOME AFFAIRS,Hansraj Gangaram Ahir Shri,08/03/2013,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4869LS.pdf
20,2013,"The Constitution (Amendment) Bill, 2013 (Insertion of new article 72A).",HOME AFFAIRS,Hansraj Gangaram Ahir Shri,08/03/2013,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4868LS.pdf
21,2013,"The Constitution (Amendment) Bill, 2013 (Insertion of new articles 16A and 16AA).",LABOUR AND EMPLOYMENT,Hansraj Gangaram Ahir Shri,08/03/2013,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4870LS.pdf
