States/Union Territory,Name of the District,No.of Sub Centres,No.of PHCs,No.of CHCs
Andaman and Nicobar Islands,Nicobar,36,3,1
Andaman and Nicobar Islands,North Andaman,42,7,2
Andaman and Nicobar Islands,South Andaman,36,9,1
Andaman and Nicobar Islands,Total of all districts of Andaman and Nicobar Islands,114,19,4
Andhra Pradesh,Adilabad,470,76,8
Andhra Pradesh,Anantapur,609,76,13
Andhra Pradesh,Chittoor,653,90,8
Andhra Pradesh,Kadapa,462,68,6
Andhra Pradesh,East Godavari,809,84,9
Andhra Pradesh,Guntur,689,72,8
Andhra Pradesh,Hyderabad,53,0,1
Andhra Pradesh,Karimnagar,580,72,6
Andhra Pradesh,Khammam,591,76,5
Andhra Pradesh,Krishna,609,72,8
Andhra Pradesh,Kurnool,576,77,5
Andhra Pradesh,Mahbubnagar,680,86,8
Andhra Pradesh,Medak,489,66,8
Andhra Pradesh,Nalgonda,626,72,7
Andhra Pradesh,Nellore,481,65,6
Andhra Pradesh,Nizamabad,412,45,4
Andhra Pradesh,Prakasam,555,81,6
Andhra Pradesh,Rangareddi,399,41,10
Andhra Pradesh,Srikakulam,488,73,10
Andhra Pradesh,Visakhapatnam,573,82,11
Andhra Pradesh,Vizianagaram,470,59,7
Andhra Pradesh,Warangal,605,69,8
Andhra Pradesh,West Godavari,643,68,5
Andhra Pradesh,Total of all districts of Andhra Pradesh,12522,1570,167
Arunachal Pradesh,Anjaw,20,2,2
Arunachal Pradesh,Changlang,38,10,3
Arunachal Pradesh,Dibang Valley,5,1,0
Arunachal Pradesh,East Kameng,43,9,2
Arunachal Pradesh,East Siang,42,15,5
Arunachal Pradesh,Lohit,30,8,3
Arunachal Pradesh,Lower Dibang Valley,19,5,2
Arunachal Pradesh,Lower Subansiri,40,8,1
Arunachal Pradesh,Papum Pare,67,7,4
Arunachal Pradesh,Tawang,20,4,0
Arunachal Pradesh,Tirap,38,8,3
Arunachal Pradesh,Upper Siang,13,3,3
Arunachal Pradesh,Upper Subansiri,37,11,4
Arunachal Pradesh,West Kameng,35,4,3
Arunachal Pradesh,West Siang,50,14,5
Arunachal Pradesh,KurumKumey,95,7,4
Arunachal Pradesh,Total of all districts of Arunachal Pradesh,592,116,44
Assam,Barpeta,264,36,7
Assam,Bongaigaon,58,27,3
Assam,Baksa,159,40,5
Assam,Cachar,269,27,1
Assam,Chirang,76,21,2
Assam,Darrang,163,25,4
Assam,Dhemaji,98,19,3
Assam,Dhubri,246,34,5
Assam,Dibrugarh,240,26,5
Assam,Goalpara,151,33,2
Assam,Golaghat,144,38,5
Assam,Hailakandi,105,12,1
Assam,Jorhat,142,39,4
Assam,Kamrup (R),298,21,10
Assam,Kamrup (M),52,54,2
Assam,Karbi Anglong,103,46,5
Assam,Karimganj,217,22,1
Assam,Kokrajhar,163,42,4
Assam,Lakhimpur,156,26,4
Assam,Morigaon,125,26,2
Assam,Nagaon,368,58,11
Assam,Nalbari,121,40,6
Assam,N.C.HILLS,65,10,2
Assam,Sivasagar,222,33,2
Assam,Sonitpur,281,47,3
Assam,Tinsukia,164,19,5
Assam,Udalguri,142,23,4
Assam,Total of all districts of Assam,4592,844,108
Bihar,Araria,200,39,3
Bihar,Aurangabad,207,69,3
Bihar,Arwal,46,28,0
Bihar,Banka,227,35,3
Bihar,Begusarai,288,49,2
Bihar,Bhagalpur,280,62,2
Bihar,Bhojpur,284,34,2
Bihar,Buxar,158,31,0
Bihar,Darbhanga,261,69,2
Bihar,Gaya,439,73,2
Bihar,Gopalganj,186,36,3
Bihar,Jamui,166,31,3
Bihar,Jehanabad,81,32,2
Bihar,Kaimur (Bhabua),107,51,2
Bihar,Katihar,257,48,3
Bihar,Khagaria,151,25,1
Bihar,Kishanganj,136,15,2
Bihar,Lakhisarai,102,20,1
Bihar,Madhepura,115,36,1
Bihar,Madhubani,430,95,2
Bihar,Munger,123,22,1
Bihar,Muzaffarpur,473,63,1
Bihar,Nalanda,302,56,3
Bihar,Nawada,129,41,2
Bihar,Pashchim Champaran,389,43,2
Bihar,Patna,418,93,4
Bihar,Purba Champaran,315,73,3
Bihar,Purnia,278,48,2
Bihar,Rohtas,186,36,1
Bihar,Saharsa,152,43,0
Bihar,Samastipur,354,79,1
Bihar,Saran,413,65,3
Bihar,Sheikhpura,74,25,1
Bihar,Sheohar,34,11,1
Bihar,Sitamarhi,213,55,1
Bihar,Siwan,370,53,2
Bihar,Supaul,178,39,1
Bihar,Vaishali,336,53,2
Bihar,Total of all districts of Bihar,8858,1776,70
Chandigarh,Chandigarh,16,0,2
Chhatisgarh,Bastar,316,56,10
Chhatisgarh,Bijapur,90,12,4
Chhatisgarh,Bilaspur,379,74,10
Chhatisgarh,Dantewada,150,24,6
Chhatisgarh,Dhamtari,165,22,4
Chhatisgarh,Durg,442,71,15
Chhatisgarh,Janjgir-Champa,246,40,8
Chhatisgarh,Jashpur,256,32,8
Chhatisgarh,Kanker,202,28,8
Chhatisgarh,Kawardha,144,23,5
Chhatisgarh,Korba,211,37,4
Chhatisgarh,Koriya,154,25,4
Chhatisgarh,Mahasamund,219,28,4
Chhatisgarh,Narayanpur,56,7,1
Chhatisgarh,Raigarh,311,51,8
Chhatisgarh,Raipur,544,65,18
Chhatisgarh,Rajnandgaon,306,42,8
Chhatisgarh,Surguja,585,78,19
Chhatisgarh,Total of all districts of Chhatisgarh,4776,715,144
Dadra and Nagar Haveli,Dadra and Nagar Haveli,38,6,1
Daman and Diu,Daman,20,1,1
Daman and Diu,Diu,6,1,1
Daman and Diu,Total of all districts of Daman and Diu,26,2,2
Delhi,East,1,0,0
Delhi,North-East,1,0,0
Delhi,North,0,0,0
Delhi,North-West,16,3,0
Delhi,West,0,0,0
Delhi,South-West,18,3,0
Delhi,South,5,2,0
Delhi,Central,0,0,0
Delhi,New Delhi,0,0,0
Delhi,Total of all districts of Delhi,41,8,0
Goa,North Goa,102,11,3
Goa,South Goa,69,8,2
Goa,Total of all districts of Goa,171,19,5
Gujarat,Ahmadabad,279,43,9
Gujarat,Amreli,247,37,13
Gujarat,Anand,274,44,10
Gujarat,Banas Kantha,422,68,15
Gujarat,Bharuch,200,38,7
Gujarat,Bhavnagar,360,44,14
Gujarat,Dahod,332,60,12
Gujarat,Gandhinagar,171,24,6
Gujarat,Jamnagar,265,37,11
Gujarat,Junagadh,390,55,15
Gujarat,Kutch-Nhuj,251,37,13
Gujarat,Kheda,317,50,11
Gujarat,Mahesana,288,50,12
Gujarat,Narmada,116,21,4
Gujarat,Navsari,281,36,10
Gujarat,Panch Mahals,400,64,14
Gujarat,Patan,210,29,8
Gujarat,Porbandar,85,10,3
Gujarat,Rajkot,330,43,18
Gujarat,Sabar Kantha,413,62,20
Gujarat,Surat,375,49,13
Gujarat,Surendranagar,200,31,11
Gujarat,Dang,47,7,1
Gujarat,Vadodara,465,76,16
Gujarat,Valsad,330,41,10
Gujarat,Tapi,226,28,5
Gujarat,Total of all districts of Gujarat,7274,1084,281
