"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
"1","2","Shri  Sushil Kumar  Shinde                                            ","15","13","Maharashtra                                                 ","Solapur","32","M"
"2","3","Smt.  Sonia  Gandhi                                            ","15","13","Uttar Pradesh                                               ","Rae Barelii","32","18"
"3","15","Shri  Dayanidhi  Maran                                             ","15","13","Tamil Nadu                                                  ","Chennai Central","32","19"
"4","16","Shri  A.  Raja                                              ","15","13","Tamil Nadu                                                  ","Nilgiris","32","23"
"5","20","Shri  M. K.  Alagiri                                           ","15","13","Tamil Nadu                                                  ","Madurai","32","M"
"6","29","Shri  Harish  Rawat                                             ","15","13","Uttarakhand                                                 ","Hardwar","32","M"
"7","30","Smt.  Chandresh  Kumari                                            ","15","13","Rajasthan                                                   ","Jodhpur","32","M"
"8","46","Shri  S.S.  Palanimanickam                                    ","15","13","Tamil Nadu                                                  ","Thanjavur","32","M"
"9","49","Shri  D.  Napoleon                                          ","15","13","Tamil Nadu                                                  ","Perambalur","32","M"
"10","50","Dr.  S.  Jagathrakshakan                                   ","15","13","Tamil Nadu                                                  ","Arakkonam","32","M"
"11","51","Shri  S.  Gandhiselvan                                      ","15","13","Tamil Nadu                                                  ","Namakkal","32","M"
"12","53","Shri  Pratik  Patil                                             ","15","13","Maharashtra                                                 ","Sangli","32","M"
"13","55","Dr.  Shashi  Tharoor                                           ","15","13","Kerala                                                      ","Thiruvananthapuram","32","M"
"14","61","Shri  Rahul  Gandhi                                            ","15","13","Uttar Pradesh                                               ","Amethi","32","21"
"15","65","Smt.  Ranee  Narah                                             ","15","13","Assam                                                       ","Lakhimpur","32","M"
"16","67","Shri  Ninong  Ering                                             ","15","13","Arunachal Pradesh                                           ","Arunachal East","32","M"
"17","68","Smt.  Deepa  Dasmunsi                                          ","15","13","West Bengal                                                 ","Raiganj","32","M"
"18","71","Shri  Lal Chand  Kataria                                           ","15","13","Rajasthan                                                   ","Jaipur Rural","32","M"
"19","72","Shri  Sandeep  Dikshit                                           ","15","13","Delhi                                                       ","East Delhi","32","28"
"20","73","Shri  J.M.  Aaron Rashid                                      ","15","13","Tamil Nadu                                                  ","Theni","32","22"
"21","74","Shri  Arun  Yadav                                             ","15","13","Madhya Pradesh                                              ","Khandwa","32","M"
"22","75","Shri  Naveen  Jindal                                            ","15","13","Haryana                                                     ","Kurukshetra","32","25"
"23","76","Shri  Madhu Goud  Yaskhi                                            ","15","13","Andhra Pradesh                                              ","Nizamabad","32","23"
"24","77","Shri  Satpal  Maharaj                                           ","15","13","Uttarakhand                                                 ","Garhwal","32","24"
"25","78","Shri  Vincent H.  Pala                                              ","15","13","Meghalaya                                                   ","Shillong","32","M"
"26","79","Shri  Madan Lal  Sharma                                            ","15","13","Jammu and Kashmir                                           ","Jammu","32","31"
"27","80","Chaudhary  Lal  Singh                                             ","15","13","Jammu and Kashmir                                           ","Udhampur","32","21"
"28","81","Shri  Mohammed  Azharuddin                                        ","15","13","Uttar Pradesh                                               ","Moradabad","32","25"
