"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
"1","11","Shri  Ajit  Singh                                             ","15","8","Uttar Pradesh                                               ","Baghpat","26","M"
"2","15","Shri  Dayanidhi  Maran                                             ","15","8","Tamil Nadu                                                  ","Chennai Central","26","15"
"3","29","Shri  Harish  Rawat                                             ","15","8","Uttarakhand                                                 ","Hardwar","26","M"
"4","30","Smt.  Chandresh  Kumari                                            ","15","8","Rajasthan                                                   ","Jodhpur","26","M"
"5","38","Shri  Jitender  Singh                                             ","15","8","Haryana                                                     ","Sonipat","26","M"
"6","39","Shri  Manish  Tewari                                            ","15","8","Punjab                                                      ","Ludhiana","26","M"
"7","53","Shri  Pratik  Patil                                             ","15","8","Maharashtra                                                 ","Sangli","26","M"
"8","55","Dr.  Shashi  Tharoor                                           ","15","8","Kerala                                                      ","Thiruvananthapuram","26","M"
"9","56","Shri  Pradeep  Jain   Aditya                                     ","15","8","Uttar Pradesh                                               ","Jhansi","26","M"
"10","60","Shri    Kodikunnil  Suresh                                ","15","8","Kerala                                                      ","Mavelikkara","26","M"
"11","61","Shri  Rahul  Gandhi                                            ","15","8","Uttar Pradesh                                               ","Amethi","26","7"
"12","62","Shri  K. J.S.P.  Reddy                                             ","15","8","Andhra Pradesh                                              ","Kurnool","26","M"
"13","63","Shri  A.H.   Khan  Choudhury                                         ","15","8","West Bengal                                                 ","Maldaha Dakshin","26","M"
"14","64","Shri  Adhir Ranjan  Chowdhury                                         ","15","8","West Bengal                                                 ","Baharampur","26","M"
"15","65","Smt.  Ranee  Narah                                             ","15","8","Assam                                                       ","Lakhimpur","26","M"
"16","66","Shri   Sarvey  Sathyanarayana                                    ","15","8","Andhra Pradesh                                              ","Malkajgiri","26","M"
"17","67","Shri  Ninong  Ering                                             ","15","8","Arunachal Pradesh                                           ","Arunachal East","26","M"
"18","68","Smt.  Deepa  Dasmunsi                                          ","15","8","West Bengal                                                 ","Raiganj","26","M"
"19","69","Shri  P.  Balram  Naik                                      ","15","8","Andhra Pradesh                                              ","Mahabubabad","26","M"
"20","70","Dr.  Krupa Rani  Killi                                             ","15","8","Andhra Pradesh                                              ","Srikakulam","26","M"
"21","71","Shri  Lal Chand  Kataria                                           ","15","8","Rajasthan                                                   ","Jaipur Rural","26","M"
"22","72","Shri  Sandeep  Dikshit                                           ","15","8","Delhi                                                       ","East Delhi","26","23"
"23","73","Shri  J.M.  Aaron Rashid                                      ","15","8","Tamil Nadu                                                  ","Theni","26","13"
"24","74","Shri  Arun  Yadav                                             ","15","8","Madhya Pradesh                                              ","Khandwa","26","M"
"25","75","Shri  Naveen  Jindal                                            ","15","8","Haryana                                                     ","Kurukshetra","26","24"
"26","76","Shri  Madhu Goud  Yaskhi                                            ","15","8","Andhra Pradesh                                              ","Nizamabad","26","3"
"27","77","Shri  Satpal  Maharaj                                           ","15","8","Uttarakhand                                                 ","Garhwal","26","22"
"28","78","Shri  Vijay  Bahuguna                                          ","15","8","Uttarakhand                                                 ","Tehri Garhwal","26","26"
"29","78","Shri  Vincent H.  Pala                                              ","15","8","Meghalaya                                                   ","Shillong","26","M"
"30","79","Shri  Madan Lal  Sharma                                            ","15","8","Jammu and Kashmir                                           ","Jammu","26","24"
"31","80","Chaudhary  Lal  Singh                                             ","15","8","Jammu and Kashmir                                           ","Udhampur","26","22"
"32","81","Shri  Mohammed  Azharuddin                                        ","15","8","Uttar Pradesh                                               ","Moradabad","26","20"
"33","82","Shri  Hamdullah  Sayeed                                            ","15","8","Lakshadweep                                                 ","Lakshadweep","26","22"
"34","83","Shri  Ashok  Tanwar                                            ","15","8","Haryana                                                     ","Sirsa","26","23"
"35","84","Shri  K.C.  Singh Baba                                        ","15","8","Uttarakhand                                                 ","Nainital-Udhamsingh Nagar","26","16"
"36","85","Shri  Vijay Inder  Singla                                            ","15","8","Punjab                                                      ","Sangrur","26","M"
"37","88","Shri  Sabbam  Hari                                              ","15","8","Andhra Pradesh                                              ","Anakapalli","26","21"
"38","89","Shri  Ravneet  Singh                                             ","15","8","Punjab                                                      ","Anandpur Sahib","26","26"
"39","90","Shri  Mahabal  Mishra                                            ","15","8","Delhi                                                       ","West Delhi","26","23"
"40","91","Shri  Ramesh  Kumar                                             ","15","8","Delhi                                                       ","South Delhi","26","26"
"41","92","Shri  Ismail Hussain  ","15","8","Assam                                                       ","Barpeta","26","26"
"42","93","Shri  Mohammad Asrarul  Haque                                             ","15","8","Bihar                                                       ","Kishanganj","26","24"
"43","94","Shri  Takam  Sanjoy                                            ","15","8","Arunachal Pradesh                                           ","Arunachal West","26","15"
"44","97","Shri  P.  Viswanathan                                       ","15","8","Tamil Nadu                                                  ","Kancheepuram","26","25"
"45","98","Shri  Sheesh Ram  Ola                                               ","15","8","Rajasthan                                                   ","Jhunjhunu","26","25"
"46","99","Shri  T.R.  Baalu                                             ","15","8","Tamil Nadu                                                  ","Sriperumbudur","26","20"
"47","100","Shri  Vilasrao Baburao  Muttemwar                                         ","15","8","Maharashtra                                                 ","Nagpur","26","24"
"48","101","Shri  Manikrao Hodlya  Gavit                                             ","15","8","Maharashtra                                                 ","Nandurbar","26","M"
"49","103","Shri  Bijoy Krishna  Handique                                          ","15","8","Assam                                                       ","Jorhat","26","M"
"50","104","Shri  A. Sai Prathap  ","15","8","Andhra Pradesh                                              ","Rajampet","26","25"
"51","105","Shri  Gurudas  Kamat                                             ","15","8","Maharashtra                                                 ","Mumbai-North-West","26","M"
"52","106","Dr.    Chinta Mohan                                      ","15","8","Andhra Pradesh                                              ","Tirupati","26","20"
"53","107","Shri  Biren Singh  Engti                                             ","15","8","Assam                                                       ","Autonomous District","26","26"
"54","108","Dr.  Kavuri Samba Siva  Rao                                               ","15","8","Andhra Pradesh                                              ","Eluru","26","26"
"55","109","Shri  Kantilal  Bhuria                                            ","15","8","Madhya Pradesh                                              ","Ratlam","26","M"
"56","110","Shri  Jai Prakash  Agarwal                                           ","15","8","Delhi                                                       ","North East Delhi","26","26"
"57","112","Shri  Datta  Meghe                                             ","15","8","Maharashtra                                                 ","Wardha","26","24"
"58","113","Shri   Rayapati S.  Rao                                               ","15","8","Andhra Pradesh                                              ","Guntur","26","17"
"59","114","Shri  Raj  Babbar                                            ","15","8","Uttar Pradesh                                               ","Salempur","26","24"
"60","116","Shri  A. Venkatarami  Reddy                                             ","15","8","Andhra Pradesh                                              ","Anantapur","26","23"
"61","117","Shri  Somabhai Gandalal Koli  Patel                                             ","15","8","Gujarat                                                     ","Surendranagar","26","24"
"62","118","Shri  Avtar Singh  Bhadana                                           ","15","8","Haryana                                                     ","Faridabad","26","14"
"63","119","Shri  P.C.  Chacko                                            ","15","8","Kerala                                                      ","Thrissur","26","22"
"64","120","Dr.  Girija  Vyas                                              ","15","8","Rajasthan                                                   ","Chittorgarh","26","23"
"65","121","Shri  Inderjit Singh  Rao                                              ","15","8","Haryana                                                     ","Gurgaon","26","22"
"66","123","Shri  Sanjay  Nirupam                                           ","15","8","Maharashtra                                                 ","Mumbai-North","26","24"
"67","124","Shri  Dip  Gogoi                                             ","15","8","Assam                                                       ","Kaliabor","26","19"
"68","126","Shri  Francisco  Sardinha                                          ","15","8","Goa                                                         ","South Goa","26","25"
"69","127","Shri  Magunta Srinivasulu  Reddy                                             ","15","8","Andhra Pradesh                                              ","Ongole","26","16"
"70","128","Shri  N.S.V.  Chitthan                                          ","15","8","Tamil Nadu                                                  ","Dindigul","26","25"
"71","129","Dr.  Arvind Kumar  Sharma                                            ","15","8","Haryana                                                     ","Karnal","26","16"
"72","130","Dr.  Sanjay  Singh                                             ","15","8","Uttar Pradesh                                               ","Sultanpur","26","22"
"73","131","Shri  Jayant  Chaudhary                                         ","15","8","Uttar Pradesh                                               ","Mathura","26","24"
"74","132","Shri  Bhaskarrao  Patil  Khatgaonkar  ","15","8","Maharashtra                                                 ","Nanded","26","21"
"75","133","Shri  Deepender Singh  Hooda                                             ","15","8","Haryana                                                     ","Rohtak","26","21"
"76","134","Shri  Bhakta Charan  Das                                               ","15","8","Orissa                                                      ","Kalahandi","26","26"
"77","135","Shri  Tarachand  Bhagora                                           ","15","8","Rajasthan                                                   ","Banswara","26","23"
"78","137","Rajkumari  Ratna  Singh                                             ","15","8","Uttar Pradesh                                               ","Pratapgarh","26","23"
"79","138","Smt.  Priya  Dutt                                              ","15","8","Maharashtra                                                 ","Mumbai-North-Central","26","17"
"80","139","Smt.  Santosh  Chowdhary                                         ","15","8","Punjab                                                      ","Hoshiarpur","26","22"
"81","140","Sardar  Sukhdev  Singh    Libra                                    ","15","8","Punjab                                                      ","Fategarh Sabhib","26","25"
"82","141","Shri  Gajendra Singh  Rajukhedi                                         ","15","8","Madhya Pradesh                                              ","Dhar","26","25"
"83","142","Shri  Sanjay Singh  Chauhan                                           ","15","8","Uttar Pradesh                                               ","Bijnor","26","25"
"84","143","Shri  Anjan Kumar  Yadav. M                                          ","15","8","Andhra Pradesh                                              ","Secunderabad","26","16"
"85","145","Shri  G.V.  Harsha Kumar                                      ","15","8","Andhra Pradesh                                              ","Amalapuram","26","22"
"86","146","Shri  Aruna Kumar  Vundavalli                                        ","15","8","Andhra Pradesh                                              ","Rajahmundry","26","26"
"87","147","Shri  S.P.Y.  Reddy                                             ","15","8","Andhra Pradesh                                              ","Nandyal","26","12"
"88","148","Shri  Lalit  Mohan  Suklabaidya                                       ","15","8","Assam                                                       ","Karimganj","26","26"
"89","149","Shri  Vikrambhai Arjanbhai  Maadam    Ahir                                    ","15","8","Gujarat                                                     ","Jamnagar","26","17"
