"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
"1","3","Smt.  Sonia  Gandhi                                            ","15","6","Uttar Pradesh                                               ","Rae Barelii","23","6"
"2","11","Shri  Ajit  Singh                                             ","15","6","Uttar Pradesh                                               ","Baghpat","23","M"
"3","14","Shri  Paban Singh  Ghatowar                                          ","15","6","Assam                                                       ","Dibrugarh","23","M"
"4","16","Shri  A.  Raja                                              ","15","6","Tamil Nadu                                                  ","Nilgiris","23","1"
"5","24","Shri  V. Kishore Chandra S.  Deo                                               ","15","6","Andhra Pradesh                                              ","Araku","23","M"
"6","25","Shri  Beni Prasad  Verma                                             ","15","6","Uttar Pradesh                                               ","Gonda","23","M"
"7","29","Shri  Harish  Rawat                                             ","15","6","Uttarakhand                                                 ","Hardwar","23","M"
"8","30","Smt.  Chandresh  Kumari                                            ","15","6","Rajasthan                                                   ","Jodhpur","23","M"
"9","38","Shri  Jitender  Singh                                             ","15","6","Haryana                                                     ","Sonipat","23","M"
"10","39","Shri  Manish  Tewari                                            ","15","6","Punjab                                                      ","Ludhiana","23","M"
"11","52","Dr.  Tusharbhai   A.  Chaudhari                                         ","15","6","Gujarat                                                     ","Bardoli","23","M"
"12","53","Shri  Pratik  Patil                                             ","15","6","Maharashtra                                                 ","Sangli","23","M"
"13","55","Dr.  Shashi  Tharoor                                           ","15","6","Kerala                                                      ","Thiruvananthapuram","23","M"
"14","57","Shri  K. C.  Venugopal                                         ","15","6","Kerala                                                      ","Alappuzha","23","M"
"15","58","Dr.  Charan Das  Mahant                                            ","15","6","Chhattisgarh                                                ","Korba","23","M"
"16","59","Shri  Milind  Deora                                             ","15","6","Maharashtra                                                 ","Mumbai-South","23","M"
"17","60","Shri    Kodikunnil  Suresh                                ","15","6","Kerala                                                      ","Mavelikkara","23","M"
"18","61","Shri  Rahul  Gandhi                                            ","15","6","Uttar Pradesh                                               ","Amethi","23","4"
"19","62","Shri  K. J.S.P.  Reddy                                             ","15","6","Andhra Pradesh                                              ","Kurnool","23","M"
"20","63","Shri  A.H.   Khan  Choudhury                                         ","15","6","West Bengal                                                 ","Maldaha Dakshin","23","M"
"21","64","Shri  Adhir Ranjan  Chowdhury                                         ","15","6","West Bengal                                                 ","Baharampur","23","M"
"22","65","Smt.  Ranee  Narah                                             ","15","6","Assam                                                       ","Lakhimpur","23","M"
"23","66","Shri   Sarvey  Sathyanarayana                                    ","15","6","Andhra Pradesh                                              ","Malkajgiri","23","M"
"24","67","Shri  Ninong  Ering                                             ","15","6","Arunachal Pradesh                                           ","Arunachal East","23","M"
"25","68","Smt.  Deepa  Dasmunsi                                          ","15","6","West Bengal                                                 ","Raiganj","23","M"
"26","69","Shri  P.  Balram  Naik                                      ","15","6","Andhra Pradesh                                              ","Mahabubabad","23","M"
"27","70","Dr.  Krupa Rani  Killi                                             ","15","6","Andhra Pradesh                                              ","Srikakulam","23","M"
"28","71","Shri  Lal Chand  Kataria                                           ","15","6","Rajasthan                                                   ","Jaipur Rural","23","M"
"29","72","Shri  Sandeep  Dikshit                                           ","15","6","Delhi                                                       ","East Delhi","23","21"
"30","73","Shri  J.M.  Aaron Rashid                                      ","15","6","Tamil Nadu                                                  ","Theni","23","16"
"31","75","Shri  Naveen  Jindal                                            ","15","6","Haryana                                                     ","Kurukshetra","23","19"
"32","76","Shri  Madhu Goud  Yaskhi                                            ","15","6","Andhra Pradesh                                              ","Nizamabad","23","6"
"33","77","Shri  Satpal  Maharaj                                           ","15","6","Uttarakhand                                                 ","Garhwal","23","18"
"34","78","Shri  Vijay  Bahuguna                                          ","15","6","Uttarakhand                                                 ","Tehri Garhwal","23","18"
"35","78","Shri  Vincent H.  Pala                                              ","15","6","Meghalaya                                                   ","Shillong","23","M"
"36","79","Shri  Madan Lal  Sharma                                            ","15","6","Jammu and Kashmir                                           ","Jammu","23","15"
"37","80","Chaudhary  Lal  Singh                                             ","15","6","Jammu and Kashmir                                           ","Udhampur","23","16"
"38","81","Shri  Mohammed  Azharuddin                                        ","15","6","Uttar Pradesh                                               ","Moradabad","23","11"
"39","82","Shri  Hamdullah  Sayeed                                            ","15","6","Lakshadweep                                                 ","Lakshadweep","23","23"
"40","83","Shri  Ashok  Tanwar                                            ","15","6","Haryana                                                     ","Sirsa","23","15"
